slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,slope_9,slope_10,slope_11,slope_12,slope_13,slope_14,slope_15,slope_16,slope_17,slope_18,slope_19,slope_20,slope_21,slope_22,slope_23,slope_24,slope_25,slope_26,slope_27,slope_28,slope_29,state
-2.14761384765691,-2.19581528785508,-2.3291181436536,-2.38812111745124,-2.49807867205006,-1.7419895102422,-1.84536325749488,-2.02142388742277,-2.00544828913185,-2.19575710334751,-2.05719364804201,-2.07486603668054,-2.80601003633588,-2.55602057063945,-2.82288394194452,-2.35981543510736,-2.51643348860537,-2.95422238845883,-4.14394819857204,-4.07019903842757,-3.7627939765872,-3.04311947381942,-2.42561841729122,-2.57294171070792,-3.33066015945295,-3.48455616373065,-3.61306569329892,-3.22258249013457,-2.87600072550626,1
-2.04400640721551,-2.1221673351837,-2.27184490480471,-2.31626887832879,-2.28605124517621,-1.60010670868346,-1.91055218785089,-2.12135614609816,-2.10599623506717,-2.08462427777182,-1.90410121942693,-2.54376213668988,-2.68901179774273,-2.71041653936941,-2.79025696545665,-2.9349810521367,-3.1601463967144,-3.49150446847877,-3.57108564171229,-3.92656614759419,-3.84893901570664,-2.66144798729668,-2.53584701066932,-2.65861729991102,-3.67502907621068,-4.12714437840246,-3.80150922553442,-2.99994838165386,-2.81533528212418,1
-2.10849869638649,-2.09407677749154,-2.28802839716301,-2.34157329371732,-2.36442260456324,-1.73987259848821,-2.01382584963586,-2.18855420830338,-2.10993565329619,-2.10078107574628,-2.05853264424365,-2.42952520267816,-2.51901472162803,-2.58743883612849,-2.58573449109414,-2.92604254901923,-3.25117905917651,-3.329492374738,-4.05188080678026,-4.21952452453019,-3.65819854221826,-3.12228019868926,-2.51150200488359,-2.77784533948021,-3.34706177080398,-3.76122942549576,-3.81841300238397,-3.25610533054403,-2.76670739867336,1
-2.14549032029885,-2.1867466520171,-2.31217799243153,-2.33403123067381,-2.4307425292331,-1.75355507863899,-2.02405775702287,-2.07345504834479,-2.00244365248584,-2.1678412228164,-1.87833363925733,-1.97180740575531,-2.48796496089107,-2.4512130770953,-2.66980980569659,-2.42174237135559,-2.86311409738208,-2.98576338460987,-3.97676029008317,-4.00918790129891,-3.64338771011407,-3.14838406922477,-2.49856907868244,-2.65010831600324,-3.67534092707431,-3.64251062207436,-3.50366148053498,-3.13281270616738,-2.7154649581776,1
-2.13504851081288,-2.28493799924322,-2.31870487259392,-2.35298048093963,-2.56756464408522,-1.69920833272344,-1.90090353708389,-2.03401602414995,-1.96960767806177,-2.07674960078836,-2.00733895950693,-2.23639064889731,-2.24232942388402,-2.51445142380208,-2.62274599410864,-2.58471814214288,-2.9408352346458,-3.04904576896365,-3.86145725097009,-3.98856283867986,-4.12263996756413,-3.53852624362022,-2.54156597750895,-2.44481758980604,-3.61054361822065,-4.0445352309845,-3.66960446798675,-3.18949658503639,-2.86714431209637,1
-2.04576274960734,-2.16153206811409,-2.34586142996062,-2.34666519205052,-2.39642282722208,-1.8075994900843,-1.84478298901957,-2.12447131650279,-2.01447043578824,-2.07569715747531,-1.95556035729959,-2.07083347364386,-2.67363067523805,-2.61882252978749,-2.72393182142452,-2.68606107696063,-2.49900684328939,-2.94772528391722,-4.18585020402635,-4.12952699041488,-3.5465774585411,-3.94918619406561,-2.64103521226914,-2.89439951748325,-3.51816507223576,-3.5002027285256,-4.10747557431817,-3.23774381523469,-2.82265052207948,0
-2.06608228524307,-2.2083466054562,-2.33776287265428,-2.36701088638964,-2.50942313243724,-1.73664148083325,-1.85011573429586,-2.00909385678914,-1.98352042074733,-2.09728068862006,-2.08156975358574,-2.08572177001871,-2.73124692866461,-2.53395118969283,-2.70929142595536,-2.45350502153174,-2.49407726661659,-3.05856613921678,-4.06009569979643,-3.97265168106985,-3.52676737793727,-2.87337860904518,-2.59782293653392,-2.04641711804592,-3.60815211773181,-3.79808970215627,-3.70908525520445,-3.13406055316999,-2.99074837768701,1
-2.07938576912742,-2.02339936670017,-2.2736566560859,-2.33122660179733,-2.39883398747333,-1.73127026245307,-1.87833320404873,-2.0887731701567,-2.08154227612337,-2.28345223733406,-2.13074657803934,-2.19932743587411,-2.79353561921128,-2.70201397964497,-2.89572417350726,-2.50030891359373,-3.10687132031351,-3.16662903655414,-4.26231300775597,-4.20824979716487,-3.57665666362209,-3.01892306153324,-2.63128532461162,-2.45246410695676,-3.60472488862568,-3.50280325476857,-3.41881465345675,-3.14443780172287,-2.87904601493015,1
-2.06760524073105,-2.12718211080939,-2.29257430478265,-2.32599877732269,-2.31841011944944,-1.76535464461562,-1.65945168593606,-2.07912203238469,-2.04964815980245,-2.10564075351836,-1.96254323021645,-2.07806120906678,-2.71867430332436,-2.48196317458117,-2.7221715880724,-2.20819841656876,-2.39299716631689,-2.92646644138719,-4.10234458106243,-4.016453252337,-3.26692031578242,-3.02735472868457,-2.4411165596679,-2.68942561711013,-3.18253902134356,-3.32856126489748,-3.98559286874887,-3.24172425241372,-2.81563977319814,0
-2.12917707274123,-2.26982940521454,-2.39202487088806,-2.45813401321147,-2.60443117755251,-1.82185723958661,-1.87833763532897,-2.05547068013045,-1.96819223402007,-2.17450820853091,-1.96433269876286,-2.13949470456417,-2.65462836201688,-2.56732654712781,-2.74424067886718,-2.45529366897435,-2.86350297302705,-3.02350359084262,-3.80471460026447,-3.97074294831181,-3.73063413772061,-3.12368767302039,-2.4348802552183,-2.72131857451598,-3.94561405053736,-4.0642407683612,-3.93826213196498,-3.21646951289972,-2.7589987874818,1
-2.01355206664543,-2.07618111773228,-2.27425842896635,-2.37390868768085,-2.43243315444941,-1.69241023271575,-1.75249707134742,-2.09532234256848,-2.08980627700213,-2.08541470258638,-1.99143872427,-2.16825031776112,-2.74389202756385,-2.5032839793288,-2.66801618951329,-2.38828561733685,-2.6905179623691,-2.95942798993416,-4.03747741817996,-3.99447084189431,-3.52453510046692,-3.38797772021643,-2.604205146256,-2.443709899861,-3.37312781089047,-3.46013543609203,-3.40974378409448,-3.24339830665648,-2.78672011223066,1
-2.11983525059615,-2.20828733638948,-2.33950238926526,-2.36118700537786,-2.46343831714562,-1.7426257148886,-1.97532112194426,-2.12995866728241,-2.10428772064671,-2.17339519582914,-2.05486084792422,-2.05253403107706,-2.76203539096664,-2.58049549597169,-2.90661143593279,-1.9106628008223,-2.54528599254579,-2.93855349994327,-4.16109900481521,-4.09347445316313,-3.69166397860922,-2.87288145557276,-2.41847017493862,-2.45890143008964,-3.49985688181398,-3.50685729452129,-3.50933413097961,-3.20332418499181,-2.87425883841534,1
-2.14647838066517,-2.32916667698929,-2.35662703635592,-2.39842677093503,-2.57452888802281,-1.73968837495498,-1.83699584927488,-2.02888889663397,-1.87162870294793,-1.96583354749873,-1.82477447947343,-2.13106821540099,-2.68255298454126,-2.47164716196418,-2.70992493349861,-2.54583572251295,-2.74859306029075,-2.97195033571868,-4.06702792051089,-4.02563529904913,-3.44401776149969,-3.93341500260368,-2.63221672665455,-3.06416840000027,-3.42896014461681,-3.34779960480564,-4.08765658181613,-3.39774647915281,-3.00001130712204,0
-2.03369889130072,-2.02800384199868,-2.21785786734444,-2.30191190886296,-2.246906378539,-1.67602186140835,-1.69811018394894,-2.02561687639842,-2.07258522116088,-2.09754913534832,-2.16930770729979,-2.27164609784017,-2.7461638555633,-2.6382438071649,-2.97766832169037,-2.29811315966161,-2.50728532532606,-3.00597504053686,-3.90760264351054,-3.79224423886871,-4.05064761968363,-3.26959937821777,-2.6711902353515,-2.83282055598196,-3.66382982559549,-3.91856709566715,-3.49762070662347,-3.17844287038704,-2.78685113453113,0
-2.05353282622147,-2.1410660716119,-2.36886858715542,-2.39076513284392,-2.44827716763319,-1.72194186593058,-1.9141622826121,-2.16039794931495,-2.02860374527283,-1.97174237014509,-2.06265877474973,-2.07551269739027,-2.74036358010834,-2.79624149223023,-3.11022316088867,-2.71251719578995,-2.483337983777,-3.00183278922973,-4.01587221313816,-4.06395020428898,-4.14710450246048,-4.01720249270648,-2.70595013219904,-3.08555802594293,-3.82349776737392,-3.51220463742492,-3.95808216783028,-3.33784445105298,-2.98080967938633,0
-2.02814882957274,-2.18633707892691,-2.2950448032925,-2.36695534595331,-2.58932696620465,-1.71230569881981,-1.84877678731935,-2.05018538620236,-1.93139128174095,-1.97490920250188,-2.03688950594791,-2.1200375489326,-2.44885520018463,-2.46182754037814,-2.89936222282141,-2.59825531507483,-2.70167844562889,-3.08026276989971,-3.93923783622394,-3.88628872183078,-3.98536074912951,-3.44312620030774,-2.63574638606943,-2.37815753463556,-3.82144500802015,-4.07507177452763,-3.71530343000257,-3.18086145817089,-2.90417439691,1
